"id"	"BIK"	"namebanka"	"korschet"	"UpDateFlag"
1	"040009002"	"ос аюмйю пняяхх N 10462, ц. яебюярнонкэ"	""	
2	"040012002"	"ос аюмйю пняяхх N 03148,"	""	
3	"040020002"	"ос аюмйю пняяхх N 61923,"	""	
4	"040021002"	"ос аюмйю пняяхх N 83604,"	""	
5	"040031002"	"ос аюмйю пняяхх N 83524,"	""	
6	"040037002"	"ос аюмйю пняяхх N 25631,"	""	
7	"040038002"	"ос аюмйю пняяхх N 02017,"	""	
8	"0"	"ос аюмйю пняяхх N 10513, ц. ахьйей"	""	
9	"040045002"	"ос аюмйю пняяхх N 18001,"	""	
10	"040047002"	"ос аюмйю пняяхх N 64106,"	""	
11	"040113000"	"пйж оюмйпсьхую, я. оюмйпсьхую"	""	
12	"040115000"	"пйж пеапхую, я. пеапхую"	""	
13	"040116000"	"пйж мнбхвхую, я. мнбхвхую"	""	
14	"040117000"	"пйж пнлюмнбн, я. пнлюмнбн"	""	
15	"040118000"	"пйж янкнмеьмне, я. янкнмеьмне"	""	
16	"040119000"	"пйж ашярпши хярнй, я. ашярпши хярнй"	""	
17	"040120000"	"пйж бнквхую, я. бнквхую"	""	
18	"040122000"	"пйж янкрнм, я. янкрнм"	""	
19	"040123000"	"пйж гюбэъкнбн, я. гюбэъкнбн"	""	
20	"040125000"	"пйж глехмнцнпяй, ц. глехмнцнпяй"	""	
21	"047888760"	"ъПНЯКЮБЯЙХИ ТХКХЮК нюн ""оПНЛЯБЪГЭАЮМЙ "" Б Ц.ъПНЯКЮБКЭ"	"30101810300000000760"	
22	"040129000"	"пйж йкчвх, я. йкчвх"	""	
23	"040131000"	"пйж йпюямныейнбн, я. йпюямныейнбн"	""	
24	"040132000"	"пйж йпюямнцнпяйне, я. йпюямнцнпяйне"	""	
25	"040135000"	"пйж йспэъ, я. йспэъ"	""	
26	"040136000"	"пйж йшрлюмнбн, я. йшрлюмнбн"	""	
27	"040137000"	"пйж цнпмъй, ц. цнпмъй"	""	
28	"040138000"	"пйж люлнмрнбн, я. люлнмрнбн"	""	
29	"040139000"	"пйж лхуюикнбяйне, я. лхуюикнбяйне"	""	
30	"040143000"	"пйж сярэ-вюпшьяйюъ опхярюмэ, я. сярэ-вюпшьяйюъ опхярюмэ"	""	
31	"040145000"	"пйж сцкнбяйне, я. сцкнбяйне"	""	
32	"040146000"	"пйж йсксмдю, я. йсксмдю"	""	
33	"040147000"	"пйж ахияй, ц. ахияй"	""	
34	"040147715"	"гепмнаюмй"", ц. ахияй"""	"30101810200000000715"	
35	"040147746"	"пецхнмюкэмши йпедхр"", ц. ахияй"""	"30101810800000000746"	
36	"040147781"	"мюпндмши гелекэмн-опнлшькеммши аюмй"", ц. ахияй"""	"30101810700000000781"	
37	"040173764"	"юкрюифхкхмбеяр"", ц. аюпмюск"""	"30101810700000000764"	
38	"040173771"	"юкрюийюохрюкаюмй"", ц. аюпмюск"""	"30101810900000000771"	
39	"040173775"	"юкрюи"" юйа ""лняярпнищйнмнлаюмй"", ц. аюпмюск"""	"30101810100000000775"	
40	"040152000"	"пйж оюбкнбяй, я. оюбкнбяй"	""	
41	"040153000"	"пйж акюцнбеыемйю, я. акюцнбеыемйю"	""	
42	"040154000"	"пйж гюпхмяй, ц. гюпхмяй"	""	
43	"040155000"	"пйж псажнбяй, ц. псажнбяй"	""	
44	"040155754"	"юкрюиахгмея-аюмй"", ц. псажнбяй"""	"30101810800000000754"	
45	"040156000"	"пйж рюкэлемйю, ц. рюкэлемйю"	""	
46	"040173749"	"йа ""рюкэлемйю-аюмй"", ц. аюпмюск"""	"30101810000000000749"	
47	"040158000"	"пйж ярюпнюкеияйне, я. ярюпнюкеияйне"	""	
48	"040159000"	"пйж рнцск, я. рнцск"	""	
49	"040160000"	"пйж якюбцнпнд, ц. якюбцнпнд"	""	
50	"040161000"	"пйж йюлемэ-мю-нах, ц. йюлемэ-мю-нах"	""	
51	"040161783"	"яхаянжаюмйю"" ннн ц.йюлемэ-мю-нах, ц. йюлемэ-мю-нах"""	"30101810500000000783"	
52	"040163000"	"пйж рпнхжйне, я. рпнхжйне"	""	
53	"040164000"	"пйж сярэ-йюклюмйю, я. сярэ-йюклюмйю"	""	
54	"040165000"	"пйж ьхосмнбн, я. ьхосмнбн"	""	
55	"040166000"	"пйж уюаюпш, я. уюаюпш"	""	
56	"040167000"	"пйж оняоекхую, я. оняоекхую"	""	
57	"040168000"	"пйж вюпшьяйне, я. вюпшьяйне"	""	
58	"040169000"	"пйж юкеияй, ц. юкеияй"	""	
59	"040173001"	"цпйж цс аюмйю пняяхх он юкрюияйнлс йп., ц. аюпмюск"	""	
60	"040173604"	"юкрюияйхи аюмй яаепаюмйю пт, ц. аюпмюск"	"30101810200000000604"	
61	"040173735"	"бнгпнфдемхе""(нюн), ц. аюпмюск"""	"30101810700000000735"	
62	"040173743"	"тнпаюмй"", ц. аюпмюск"""	"30101810200000000743"	
