id|BIK|namebanka|korschet
1|"040009002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 10462, ﾃ. ﾑﾅﾂﾀﾑﾒﾎﾏﾎﾋﾜ"|
2|"040012002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 03148,"|
3|"040020002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 61923,"|
4|"040021002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 83604,"|
5|"040031002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 83524,"|
6|"040037002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 25631,"|
7|"040038002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 02017,"|
8|"0"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 10513, ﾃ. ﾁﾈﾘﾊﾅﾊ"|
9|"040045002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 18001,"|
10|"040047002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ N 64106,"|
11|"040113000"|"ﾐﾊﾖ ﾏﾀﾍﾊﾐﾓﾘﾈﾕﾀ, ﾑ. ﾏﾀﾍﾊﾐﾓﾘﾈﾕﾀ"|
12|"040115000"|"ﾐﾊﾖ ﾐﾅﾁﾐﾈﾕﾀ, ﾑ. ﾐﾅﾁﾐﾈﾕﾀ"|
13|"040116000"|"ﾐﾊﾖ ﾍﾎﾂﾈﾗﾈﾕﾀ, ﾑ. ﾍﾎﾂﾈﾗﾈﾕﾀ"|
14|"040117000"|"ﾐﾊﾖ ﾐﾎﾌﾀﾍﾎﾂﾎ, ﾑ. ﾐﾎﾌﾀﾍﾎﾂﾎ"|
15|"040118000"|"ﾐﾊﾖ ﾑﾎﾋﾎﾍﾅﾘﾍﾎﾅ, ﾑ. ﾑﾎﾋﾎﾍﾅﾘﾍﾎﾅ"|
16|"040119000"|"ﾐﾊﾖ ﾁﾛﾑﾒﾐﾛﾉ ﾈﾑﾒﾎﾊ, ﾑ. ﾁﾛﾑﾒﾐﾛﾉ ﾈﾑﾒﾎﾊ"|
17|"040120000"|"ﾐﾊﾖ ﾂﾎﾋﾗﾈﾕﾀ, ﾑ. ﾂﾎﾋﾗﾈﾕﾀ"|
18|"040122000"|"ﾐﾊﾖ ﾑﾎﾋﾒﾎﾍ, ﾑ. ﾑﾎﾋﾒﾎﾍ"|
19|"040123000"|"ﾐﾊﾖ ﾇﾀﾂﾜﾟﾋﾎﾂﾎ, ﾑ. ﾇﾀﾂﾜﾟﾋﾎﾂﾎ"|
20|"040125000"|"ﾐﾊﾖ ﾇﾌﾅﾈﾍﾎﾃﾎﾐﾑﾊ, ﾃ. ﾇﾌﾅﾈﾍﾎﾃﾎﾐﾑﾊ"|
21|"040128000"|"ﾐﾊﾖ ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊﾎﾅ, ﾑ. ﾏﾅﾒﾐﾎﾏﾀﾂﾋﾎﾂﾑﾊﾎﾅ"|
22|"040129000"|"ﾐﾊﾖ ﾊﾋﾞﾗﾈ, ﾑ. ﾊﾋﾞﾗﾈ"|
23|"040131000"|"ﾐﾊﾖ ﾊﾐﾀﾑﾍﾎﾙﾅﾊﾎﾂﾎ, ﾑ. ﾊﾐﾀﾑﾍﾎﾙﾅﾊﾎﾂﾎ"|
24|"040132000"|"ﾐﾊﾖ ﾊﾐﾀﾑﾍﾎﾃﾎﾐﾑﾊﾎﾅ, ﾑ. ﾊﾐﾀﾑﾍﾎﾃﾎﾐﾑﾊﾎﾅ"|
25|"040135000"|"ﾐﾊﾖ ﾊﾓﾐﾜﾟ, ﾑ. ﾊﾓﾐﾜﾟ"|
26|"040136000"|"ﾐﾊﾖ ﾊﾛﾒﾌﾀﾍﾎﾂﾎ, ﾑ. ﾊﾛﾒﾌﾀﾍﾎﾂﾎ"|
27|"040137000"|"ﾐﾊﾖ ﾃﾎﾐﾍﾟﾊ, ﾃ. ﾃﾎﾐﾍﾟﾊ"|
28|"040138000"|"ﾐﾊﾖ ﾌﾀﾌﾎﾍﾒﾎﾂﾎ, ﾑ. ﾌﾀﾌﾎﾍﾒﾎﾂﾎ"|
29|"040139000"|"ﾐﾊﾖ ﾌﾈﾕﾀﾉﾋﾎﾂﾑﾊﾎﾅ, ﾑ. ﾌﾈﾕﾀﾉﾋﾎﾂﾑﾊﾎﾅ"|
30|"040143000"|"ﾐﾊﾖ ﾓﾑﾒﾜ-ﾗﾀﾐﾛﾘﾑﾊﾀﾟ ﾏﾐﾈﾑﾒﾀﾍﾜ, ﾑ. ﾓﾑﾒﾜ-ﾗﾀﾐﾛﾘﾑﾊﾀﾟ ﾏﾐﾈﾑﾒﾀﾍﾜ"|
31|"040145000"|"ﾐﾊﾖ ﾓﾃﾋﾎﾂﾑﾊﾎﾅ, ﾑ. ﾓﾃﾋﾎﾂﾑﾊﾎﾅ"|
32|"040146000"|"ﾐﾊﾖ ﾊﾓﾋﾓﾍﾄﾀ, ﾑ. ﾊﾓﾋﾓﾍﾄﾀ"|
33|"040147000"|"ﾐﾊﾖ ﾁﾈﾉﾑﾊ, ﾃ. ﾁﾈﾉﾑﾊ"|
34|"040147715"|"ﾇﾅﾐﾍﾎﾁﾀﾍﾊ"", ﾃ. ﾁﾈﾉﾑﾊ"""|"30101810200000000715"
35|"040147746"|"ﾐﾅﾃﾈﾎﾍﾀﾋﾜﾍﾛﾉ ﾊﾐﾅﾄﾈﾒ"", ﾃ. ﾁﾈﾉﾑﾊ"""|"30101810800000000746"
36|"040147781"|"ﾍﾀﾐﾎﾄﾍﾛﾉ ﾇﾅﾌﾅﾋﾜﾍﾎ-ﾏﾐﾎﾌﾛﾘﾋﾅﾍﾍﾛﾉ ﾁﾀﾍﾊ"", ﾃ. ﾁﾈﾉﾑﾊ"""|"30101810700000000781"
37|"040173764"|"ﾀﾋﾒﾀﾉﾆﾈﾋﾈﾍﾂﾅﾑﾒ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810700000000764"
38|"040173771"|"ﾀﾋﾒﾀﾉﾊﾀﾏﾈﾒﾀﾋﾁﾀﾍﾊ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810900000000771"
39|"040173775"|"ﾀﾋﾒﾀﾉ"" ﾀﾊﾁ ""ﾌﾎﾑﾑﾒﾐﾎﾉﾝﾊﾎﾍﾎﾌﾁﾀﾍﾊ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810100000000775"
40|"040152000"|"ﾐﾊﾖ ﾏﾀﾂﾋﾎﾂﾑﾊ, ﾑ. ﾏﾀﾂﾋﾎﾂﾑﾊ"|
41|"040153000"|"ﾐﾊﾖ ﾁﾋﾀﾃﾎﾂﾅﾙﾅﾍﾊﾀ, ﾑ. ﾁﾋﾀﾃﾎﾂﾅﾙﾅﾍﾊﾀ"|
42|"040154000"|"ﾐﾊﾖ ﾇﾀﾐﾈﾍﾑﾊ, ﾃ. ﾇﾀﾐﾈﾍﾑﾊ"|
43|"040155000"|"ﾐﾊﾖ ﾐﾓﾁﾖﾎﾂﾑﾊ, ﾃ. ﾐﾓﾁﾖﾎﾂﾑﾊ"|
44|"040155754"|"ﾀﾋﾒﾀﾉﾁﾈﾇﾍﾅﾑ-ﾁﾀﾍﾊ"", ﾃ. ﾐﾓﾁﾖﾎﾂﾑﾊ"""|"30101810800000000754"
45|"040156000"|"ﾐﾊﾖ ﾒﾀﾋﾜﾌﾅﾍﾊﾀ, ﾃ. ﾒﾀﾋﾜﾌﾅﾍﾊﾀ"|
46|"040173749"|"ﾊﾁ ""ﾒﾀﾋﾜﾌﾅﾍﾊﾀ-ﾁﾀﾍﾊ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810000000000749"
47|"040158000"|"ﾐﾊﾖ ﾑﾒﾀﾐﾎﾀﾋﾅﾉﾑﾊﾎﾅ, ﾑ. ﾑﾒﾀﾐﾎﾀﾋﾅﾉﾑﾊﾎﾅ"|
48|"040159000"|"ﾐﾊﾖ ﾒﾎﾃﾓﾋ, ﾑ. ﾒﾎﾃﾓﾋ"|
49|"040160000"|"ﾐﾊﾖ ﾑﾋﾀﾂﾃﾎﾐﾎﾄ, ﾃ. ﾑﾋﾀﾂﾃﾎﾐﾎﾄ"|
50|"040161000"|"ﾐﾊﾖ ﾊﾀﾌﾅﾍﾜ-ﾍﾀ-ﾎﾁﾈ, ﾃ. ﾊﾀﾌﾅﾍﾜ-ﾍﾀ-ﾎﾁﾈ"|
51|"040161783"|"ﾑﾈﾁﾑﾎﾖﾁﾀﾍﾊﾀ"" ﾎﾎﾎ ﾃ.ﾊﾀﾌﾅﾍﾜ-ﾍﾀ-ﾎﾁﾈ, ﾃ. ﾊﾀﾌﾅﾍﾜ-ﾍﾀ-ﾎﾁﾈ"""|"30101810500000000783"
52|"040163000"|"ﾐﾊﾖ ﾒﾐﾎﾈﾖﾊﾎﾅ, ﾑ. ﾒﾐﾎﾈﾖﾊﾎﾅ"|
53|"040164000"|"ﾐﾊﾖ ﾓﾑﾒﾜ-ﾊﾀﾋﾌﾀﾍﾊﾀ, ﾑ. ﾓﾑﾒﾜ-ﾊﾀﾋﾌﾀﾍﾊﾀ"|
54|"040165000"|"ﾐﾊﾖ ﾘﾈﾏﾓﾍﾎﾂﾎ, ﾑ. ﾘﾈﾏﾓﾍﾎﾂﾎ"|
55|"040166000"|"ﾐﾊﾖ ﾕﾀﾁﾀﾐﾛ, ﾑ. ﾕﾀﾁﾀﾐﾛ"|
56|"040167000"|"ﾐﾊﾖ ﾏﾎﾑﾏﾅﾋﾈﾕﾀ, ﾑ. ﾏﾎﾑﾏﾅﾋﾈﾕﾀ"|
57|"040168000"|"ﾐﾊﾖ ﾗﾀﾐﾛﾘﾑﾊﾎﾅ, ﾑ. ﾗﾀﾐﾛﾘﾑﾊﾎﾅ"|
58|"040169000"|"ﾐﾊﾖ ﾀﾋﾅﾉﾑﾊ, ﾃ. ﾀﾋﾅﾉﾑﾊ"|
59|"040173001"|"ﾃﾐﾊﾖ ﾃﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾏﾎ ﾀﾋﾒﾀﾉﾑﾊﾎﾌﾓ ﾊﾐ., ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"|
60|"040173604"|"ﾀﾋﾒﾀﾉﾑﾊﾈﾉ ﾁﾀﾍﾊ ﾑﾁﾅﾐﾁﾀﾍﾊﾀ ﾐﾔ, ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"|"30101810200000000604"
61|"040173735"|"ﾂﾎﾇﾐﾎﾆﾄﾅﾍﾈﾅ""(ﾎﾀﾎ), ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810700000000735"
62|"040173743"|"ﾔﾎﾐﾁﾀﾍﾊ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810200000000743"
63|"040173745"|"ﾑﾈﾁﾑﾎﾖﾁﾀﾍﾊ"" ﾎﾎﾎ, ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810800000000745"
64|"040173754"|"ﾇﾅﾐﾍﾎﾁﾀﾍﾊ"", ﾃ. ﾁﾀﾐﾍﾀﾓﾋ"""|"30101810600000000754"
65|"040180002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾑﾒﾅﾏﾍﾎﾅ, ﾃ. ﾀﾋﾅﾉﾑﾊ 4"|
66|"040181002"|"ﾏﾓ ﾁﾀﾍﾊﾀ ﾐﾎﾑﾑﾈﾈ ﾘﾎﾋﾎﾕﾎﾂﾑﾊﾎﾅ, ﾏ. ﾑﾈﾁﾈﾐﾑﾊﾈﾉ"|
67|"040303000"|"ﾐﾊﾖ ﾀﾄﾋﾅﾐ, ﾃ. ﾀﾄﾋﾅﾐ"|
68|"040303888"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾑﾎﾗﾈ,ﾀ-341"""|"30101810900000000888"
69|"040304000"|"ﾐﾊﾖ ﾀﾍﾀﾏﾀ, ﾃ. ﾀﾍﾀﾏﾀ"|
70|"040304793"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾀﾍﾀﾏﾀ"""|"30101810500000000793"
71|"040305000"|"ﾐﾊﾖ ﾀﾏﾘﾅﾐﾎﾍﾑﾊ, ﾃ. ﾀﾏﾘﾅﾐﾎﾍﾑﾊ"|
72|"040306000"|"ﾐﾊﾖ ﾀﾐﾌﾀﾂﾈﾐ, ﾃ. ﾀﾐﾌﾀﾂﾈﾐ"|
73|"040306709"|"ﾞﾃﾁﾀﾍﾊ"", ﾃ. ﾀﾐﾌﾀﾂﾈﾐ"""|"30101810200000000709"
74|"044585515"|"ﾒﾐﾀﾑﾒ ﾊﾀﾏﾈﾒﾀﾋ ﾁﾀﾍﾊ"" ﾇﾀﾎ, ﾃ. ﾌﾎﾑﾊﾂﾀ"""|"30101810800000000515"
75|"040306791"|"ﾀﾐﾂﾅﾑﾒﾀ"", ﾃ. ﾀﾐﾌﾀﾂﾈﾐ"""|"30101810700000000791"
76|"040309000"|"ﾐﾊﾖ ﾁﾅﾋﾎﾐﾅﾗﾅﾍﾑﾊ, ﾃ. ﾁﾅﾋﾎﾐﾅﾗﾅﾍﾑﾊ"|
77|"044552516"|"ﾌﾎﾑﾎﾁﾋﾈﾍﾂﾅﾑﾒﾁﾀﾍﾊ"", ﾃ. ﾄﾌﾈﾒﾐﾎﾂ"""|"30101810500000000516"
78|"040312000"|"ﾐﾊﾖ ﾀﾁﾈﾍﾑﾊ, ﾃ. ﾀﾁﾈﾍﾑﾊ"|
79|"040313000"|"ﾐﾊﾖ ﾃﾅﾋﾅﾍﾄﾆﾈﾊ, ﾃ. ﾃﾅﾋﾅﾍﾄﾆﾈﾊ"|
